tconst,titleType,startYear,runtimeMinutes,genres,averageRating,sex_code,violence_code,profanity_code,drug_code,intense_code,final_certificate
tt4303340,movie,2016,104.0,"Drama,Horror,Thriller",6.2,1.0,4.0,2.0,2.0,3.0,T16
tt0046345,movie,1953,96.0,"Drama,Romance",7.5,2.0,2.0,2.0,2.0,2.0,T18
tt0019421,movie,1928,70.0,"Action,Comedy,Drama",7.8,1.0,2.0,1.0,2.0,2.0,P
tt0055304,movie,1961,80.0,"Drama,Horror,Mystery",7.0,1.0,2.0,1.0,1.0,3.0,T18
tt0091939,movie,1986,84.0,"Comedy,Romance",6.8,4.0,1.0,3.0,2.0,1.0,T18
tt2852458,movie,2013,100.0,"Drama,Romance,Thriller",6.9,4.0,3.0,2.0,1.0,2.0,T18
tt2234261,movie,2013,94.0,Comedy,5.7,2.0,2.0,2.0,2.0,1.0,T13
tt0057877,movie,1964,148.0,"Biography,Drama,History",7.8,2.0,2.0,2.0,2.0,2.0,T18
tt0058213,movie,1964,133.0,"Crime,Drama,Mystery",7.5,1.0,3.0,2.0,2.0,3.0,T18
tt0271383,movie,2000,104.0,"Comedy,Drama,Fantasy",8.6,3.0,2.0,2.0,2.0,2.0,T13
tt8442644,movie,2019,121.0,"Comedy,Drama",6.0,2.0,3.0,3.0,3.0,2.0,K
tt0060086,movie,1966,114.0,"Comedy,Drama",7.0,2.0,3.0,3.0,2.0,3.0,T18
tt2299842,movie,2012,103.0,"Crime,Drama,Thriller",7.1,3.0,3.0,3.0,2.0,3.0,T18
tt1173745,movie,2008,121.0,"Crime,Drama,Romance",7.5,4.0,2.0,2.0,3.0,2.0,T13
tt1791614,movie,2012,90.0,"Comedy,Drama",6.2,2.0,1.0,2.0,2.0,2.0,K
tt0114279,movie,1995,110.0,"Drama,Sci-Fi,War",7.3,3.0,3.0,1.0,4.0,3.0,T16
tt5439812,movie,2020,86.0,"Comedy,Crime,Drama",6.5,4.0,3.0,4.0,3.0,3.0,T16
tt8178486,movie,2019,107.0,"Crime,Drama,Mystery",5.9,3.0,3.0,2.0,2.0,3.0,T16
tt0325258,movie,2003,98.0,Comedy,5.5,2.0,2.0,3.0,2.0,2.0,T13
tt2218988,movie,2012,151.0,"Comedy,Drama",8.2,1.0,1.0,2.0,2.0,1.0,K
tt1032819,movie,2009,106.0,Drama,6.2,2.0,2.0,4.0,3.0,3.0,T16
tt0044672,movie,1952,152.0,"Drama,Family,Romance",6.6,1.0,2.0,1.0,2.0,2.0,P
tt2265534,movie,2013,98.0,"Drama,Romance",5.6,3.0,2.0,3.0,3.0,4.0,T16
tt5016946,movie,2016,95.0,"Comedy,Drama,Sport",7.0,2.0,2.0,2.0,2.0,2.0,T16
tt8338762,movie,2020,107.0,"Drama,Romance",6.3,3.0,2.0,3.0,3.0,2.0,T16
tt0473188,movie,2007,97.0,"Action,Crime,Thriller",5.8,2.0,3.0,3.0,3.0,3.0,T16
tt2315596,movie,2018,91.0,"Action,Crime,Drama",6.2,2.0,3.0,3.0,3.0,2.0,T13
tt0068421,movie,1972,134.0,"Adventure,Drama,Western",7.4,1.0,3.0,3.0,2.0,3.0,K
